id;fecha;nombre;laboratorio;dosis
1;2020-07-01;hack HTTP;navigating Checking Account;Senior quantifying facilitate
2;2020-07-01;applications Borders yellow;Money Market Account Soft;USB Pizza
3;2020-07-01;flexibility fault-tolerant;open-source Incredible Interactions;innovative Kansas
4;2020-07-02;Concrete Indian Rupee;matrix;Investment Account
5;2020-07-01;Angola;strategic extensible 1080p;Credit Card Account Devolved
6;2020-07-01;Mountains;Rupiah;Customer
7;2020-07-01;Visionary;Incredible mobile;portals AGP
8;2020-07-01;matrices yellow;synthesize Data Analyst;Open-architected magenta Automotive
9;2020-07-01;client-server platforms Analyst;Shirt Vision-oriented;digital
10;2020-07-01;ability Handmade Shirt;matrices Saint Helena Pound;productivity
