id;deca_cup;deca_estado;deca_json
1;paradigms;Cuban Rua initiatives;Ejecutivo orchestrate
2;multi-byte e-commerce port;Extremadura Account override;users redundant Granito
3;Hecho Tácticas;Dinánmico AI withdrawal;Región Juguetería
4;system bricks-and-clicks;primary Checking SSL;Electrónica
5;generate Distribuido;Granito;Arquitecto 6th state
6;Global Queso contingencia;invoice;Refinado
7;emulación Especialista abierto;Automatizado;Conjunto
8;Castilla;Cambridgeshire bypass Representante;actitud Pelota disintermediate
9;bleeding-edge emulación;open-source bricks-and-clicks supply-chains;Bricolaje
10;Public-key Navarra Métricas;Borders Administrador copying;Azul Mascotas
