id;nombre;tipo;fecha;numero_animales
1;Plaza Home Loan Account bluetooth;VENTA;2020-10-13;33793
2;innovate Handcrafted partnerships;PASTOREO;2020-10-12;63789
3;impactful;COMPRA;2020-10-13;7968
4;ivory;COMPRA;2020-10-13;13097
5;card Handcrafted Metal Bacon scale;PASTOREO;2020-10-13;56697
6;JSON azure Brazil;PASTOREO;2020-10-13;31461
7;orchestration;COMPRA;2020-10-13;5720
8;solid state;PASTOREO;2020-10-13;46250
9;Fantastic Granite Chicken Rwanda Franc;PASTOREO;2020-10-12;56742
10;Avenue;PASTOREO;2020-10-13;98925
