id;fecha_ingreso;fecha_salida;cantidad_bovinos;cantidad_equinos;cantidad_mulares;fecha_limpia;dias_descanso;dias_carga;ocupado
1;2020-06-30;2020-07-01;97296;57715;54418;2020-06-30;2444;62022;S
2;2020-06-30;2020-06-30;35438;32740;16321;2020-06-30;34712;60038;N
3;2020-06-30;2020-06-30;21604;44981;14985;2020-06-30;85896;84452;S
4;2020-06-30;2020-06-30;1083;19193;95904;2020-07-01;71194;50386;S
5;2020-07-01;2020-06-30;77933;4644;78828;2020-06-30;52122;66598;N
6;2020-06-30;2020-06-30;1346;45400;6497;2020-06-30;82046;3982;S
7;2020-06-30;2020-06-30;95340;88586;27052;2020-06-30;26205;37860;N
8;2020-07-01;2020-07-01;2017;79065;20981;2020-06-30;89870;80378;N
9;2020-06-30;2020-07-01;29723;11409;35274;2020-06-30;38046;2948;N
10;2020-06-30;2020-06-30;93298;74752;46663;2020-06-30;22307;70725;N
